bucket,avg_cost_diff
"(-0.000998, 177.483]",-3610.97059812681
"(177.483, 437.766]",-3503.773564450726
"(437.766, 794.658]",-3440.9145365018344
"(794.658, 1352.835]",-3482.6255082125185
"(1352.835, 2417.701]",-3499.7390288902006
"(2417.701, 5000.0]",-3465.8518751092724
"(5000.0, 10269.831]",-3538.7090993142097
"(10269.831, 23298.435]",-3442.0972404501836
"(23298.435, 67198.884]",-3193.7542221655353
"(67198.884, 2120378.118]",-3387.937592935058
