amount0,amount1,id,pool,timestamp
-0.491696153867673196,1153.647591,0x00bb1df1310940ff7b422e9e2c2fd1dce3b6637867c6cf66e06ad678064502d1#514710,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704146243
-0.127955117350992486,300,0x00bb788f51f1f07211199f11dcba1ac86d27077c541040d86359d74f11ae08cd#3230344,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704143363
8.788485072264210368,-20000,0x00bd1529c0f3a77ba6e9305ce1845e61a2bb0ba28d57d6a860b7f3874b7a13d6#122392,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704088235
8.632713564667618085,-19999.672779,0x00cbd537de097ea8a620ffa848798164efb829f1b1c247798e107d4e1b22e65c#123793,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704125963
-0.102850811839674632,246.189296,0x00d62eb95e987f21c19f0f64b7f2762a34e012c46dd8f09a0ba35e8ef7317425#514898,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704158183
-4.820244117390693375,11443.009331,0x00dcaf19750996ab4da01a8ea4dc836956e25f6072ea6eae38da6ace3f92a4ff#125144,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704155879
0.99125,-2316.515161,0x00df7e04b9c0a145f0da4fffe92a10146658776110f479f11c7a63ebd4878b9e#3230511,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704146567
0.6140775,-1420.169511,0x00e1e7f95ce5eddc8a31a5ada0de012d478a14330b68d8220e2c5467ffcaea4d#124041,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704131327
-0.083071562524701981,191.473692,0x00e2acb44153a74c93125d7b3f389cb6474bddcbc2820030c98ecc7786a9f09a#3228557,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704107783
-0.035662901937643995,82.037941,0x00ef7d55c8023def06daf8f6cf9909d3c522904a86b71718aca23fe2175e55ae#123130,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704111479
2.37296570285580642,-5533.395311,0x00f59a98875454054be4d2cb2b217b0a9aeb08d91211811f6c04068d862d662d#3230617,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704148967
-0.167888760550233772,400,0x0101aa498ff636eeaa1691f3ebf45633fa00f69b63738e637049621e65165681#3231588,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704163391
-0.009506426255551311,21.879431,0x0104636f01027d7e94e74c8008e1d4997e367ed00de549ec928eae1b0332c77c#3228619,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704109643
-4.319731592433042003,10000,0x0105f274ca565fb57d1c8116f8aad109eac4cbaf582deb51648788f46a511992#3229700,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704132011
-13.435573669254973187,32019.591874,0x010d9d52fe9ba519205c04f9b09a1c0e04f7d3cf016ea5ded700f2ab3debc524#3231347,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704159359
-0.597889534259779742,1400,0x0112b48005010db98acd950b66c8498f19d25c63b5660e6522f9fe157aff2550#3230698,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704150419
-0.055655680515427058,128.11528,0x013356bc01f176d50db450fc31893c8b12bea1dae5259f67e90b8301bfa38efb#123452,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704118799
-0.760538534964003617,1812.097721,0x0143165eebdb6d6ec8de9db4c01c520206f5812b18860ffc64f14795fbe89c50#125969,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704169967
0.434122812406624358,-1015.469147,0x014583317455c08d7399edc9e060bed2db8e8b5c39e6f38378ff0ed462e2f9fb#3230305,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704142523
0.002160289133097574,-4.998849,0x01465c4a7e1a0f35aca4b9fd5c1dda798107db784e5437aee13a0aa378b89104#3229705,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704132107
5.091120915823973594,-11582.1173,0x0150f0e71928591b59113a52c349280a10978693b6db24a00d03b9cc4f3e3d4c#3227974,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704088235
5.782821448059334653,-13572.86714,0x015ac05e63bc479f0a91c447a78a11b02d501b6ae1c889c5a4e2fdbca7d76351#124930,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704152243
-0.707598282331996888,1636.031158,0x015bd9474a76e5466b67d9d62c6baca5e18c323a731f6d2a211218928e4d0c01#123881,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704127799
