amount0In,amount0Out,amount1In,amount1Out,id,pair,timestamp
0,1.07949082701978673,2500,0,0x035480cea3c3f49de6a81418761999c079f6a5b5316c2443976edb1d7136a30d-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704123887
2.348575382350412573,0,0,5483.995857,0x0361c9f6722770ed2e9498d6e8d45dec61cae7e4102136c406411eedbd59a90a-1,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704143543
0,0.234972381343842574,560,0,0x0361cb1669d94c14398e84b7e9864a4779b53901b89bdaa62719a42a1de28e12-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704165959
0,0.006857726011105675,16.322113,0,0x0361e553ebdc5835f1171eb558cabdfd3a169664a18852fca38bb3499d6e265f-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704155351
0.021848029112941633,0,0,50.905873,0x03989d125af0ea889d337ae84840ce7d976f7efb074bc5eaed4145c264d1fdd2-1,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704151139
0.769754076342245227,0,0,1759.6323,0x039db80e6137edff7fa92d832d5df1d071d25671fe3d99264fc6d53fe1465b13-1,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704102587
0.76271574818421002,0,0,1779.101275,0x03d1da1fca07a34065cd9a8546f8327bac4358630190b9d8bbaf7ebc524e3fe1-1,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704145727
0.157220609224316276,0,0,372.30651,0x03db1de7a6e18b3734c1c6508a777199307575b3d9e66f3bf6d8cf168f159167-1,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704161123
0,0.786702291203534448,1842.255425,0,0x03e71f508932e3399d4c0f7384826b14e201786c9336bb852a1060428e8c4904-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704139187
0.0071,0,0,16.172104,0x040645cf8ead958ceb3f1333d45c254b4ef84dbbe9f20083c4dc6b7d9c06c056-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704092807
0,0.194638052378039199,450,0,0x0408846efe7016c937f6874c9809a0f03e4e11ef99223b429640d51bb95ca938-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704123695
0.248410908407630699,0,0,573.286832,0x04090814311946f958b5726909b92a0881c39742a21f11f6224d2004fc87ae79-1,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704132179
0,0.260029870074499512,600,0,0x0412c644fd8f7e58edd0101dc57ae7d190732cf5f04b723c4a1c997f315b698c-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704115679
0.078378424429246711,0,0,179.396112,0x0418c5b6de5aad30e3f0a7e6b39aaea44c785d0d7c57d3f0c9523460fb6135df-1,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704104075
0,0.861446340573658716,2000,0,0x043734558cd7818a54cc933407fa3bd8001a24daab509c3e948ddb8f1def0f51-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704130643
0.017912631613648484,0,0,40.666809,0x0466d091a8863e1391daa1abd6d480a631f2bbea51e75b9ef3c9fab661680dfb-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704090683
0,0.017250345633004868,40,0,0x047467cc75e8e9c4ee05fb9d7eb5e66a034e4eb686deca4395bc32003613f148-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704126083
0,0.041730327741834335,99.956519,0,0x047bd57ad875add15468cd527196dfe6cf9f716e07d6f40a5a08cd2beefda624-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704158627
0.01579077313199883,0,0,36.258261,0x049044ab5e615fbb5eb4e2c7395ef6389d4a7876cf4aed007a0c227de5140300-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704108815
0,0.057812329475555152,133.483714,0,0x04939e146fd82502a466f6187ad959b3f70336d6b46604954d87f6d4b86de4d7-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704116579
0,0.038318237092033796,90,0,0x04aac0007b70554229eff225a814ab655767571f5ae6eba39e60703d495eb16b-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704144251
0.0130645186,0,0,30.023583,0x04b09350345ae8a7e015e2306a283905c73ed71a47091fb952553685b3a4f5a7-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704123515
0,9.65164369264188416,22482.032058,0,0x04ce4151bbf0b1409e98553fdb675befece8ab1bf5ec72d3090ad34f230a9d6d-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704132839
0.396579200644649671,0,0,926.222958,0x04e7bead9e68e109323cdc61c6a7df855da18ab6d7f4a9832f72f30986ba10ae-1,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704140327
3.661833792905533268,0,0,8693.275152,0x04ea5d0b9ce2c2600bbc87e99fded12f3579cad8201cf8d2c91be055e4e6e600-1,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704167903
0,0.008495283477711037,20.281809,0,0x052a1446a7807a5fb87d48aea319c39a9115ba0b19bdd374358316eb85d934aa-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704168971
0,0.086275515427452816,200,0,0x053d03f2a7f518e0bbdfa531a330d8eb768f58cf5d7b542bd6111a413023c7d7-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704125075
0.004124413408536547,0,0,9.63032,0x057f1e6383b7b63656711e1479fe52ddedbc80fbc12ad2835ed0b4b4c18b1306-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704143387
0,0.084747246202673178,199.4,0,0x0582804ea21d0f7ea86e03cc02c7c6394def548d0feb9f490892eb3d4194f7b5-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704152591
0.0004327955127761,0,0,0.998475,0x059d1fbc16072e28c4824675ec0ea89477d4a04281f41f25e7422ec5d7383a86-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704128399
0,0.045805020704593799,107.042228,0,0x05c3a47faffd0a476327891b7eb985b9db61174076a841bacd0e88987f9decbc-1,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704137687
0.370476861765860097,0,0,877.901366,0x05ceeb9afcb10b196a76d64561790280335d743892f22bd0dfad255928900bef-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704162431
0,10.385421524671753778,23856.734329,0,0x05e50598392613fff7408956b204b2f878188f4e031a5f04f6807326067e57dd-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704102011
0,0.03927225198838919,91.8,0,0x05f6ad3ed573f1314c89466a533214575dbcc7358fff935a86aa05a214e1a9eb-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704147899
0.194913652803373354,0,0,462.525199,0x066bfbe50ed6a2aa14694033e7b2561b27230254dc4e7eee724588cd1159b6a2-1,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704168707
0,0.243794232022211765,563.094756,0,0x06757ce845b1eb9a94d877359fabd0a0838fdf1824bbaecca019270d83a7b5e1-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704113663
0.006443125,0,0,14.684155,0x06be628691264f1d6142604f18a962c73a7b6acf68b613b90f102fad69e9e4eb-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704099491
0,12.366295868282028032,29218.346886,0,0x06c9d8db29f4151c2b6b3ff53479603022aa5d0c672378588a7fa8b3386ceda5-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704154535
0,0.081810892458305675,192.123655,0,0x06ddee63416a29009f6e1e9572ab46a586dbdbfa57a9ca4479582f49304a9913-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704144995
0,0.233180185206516686,555.853917,0,0x06e13f40c413a30a3e2d8d38aa0796f46255cf1075eb7a78f067b56bf433ee46-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704166655
0,0.198927954294778384,467.387136,0,0x072608855e00fbe93beac3a39b2143acfea8ce4641e29b41d2ae9ad1d1780361-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704142979
0.138227209991218329,0,0,317.585378,0x076a319d8bdd6d8414c067e342d9ad291344e142bcf16faf136be725a4f145c9-1,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704120359
0,0.009914682872721593,23.674564,0,0x07bcf03581d123a08b8fdf23eb3916c207d5ffce8c0d9ac23d061b3e0083fe97-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704167723
0,0.722777123475694201,1677.626721,0,0x07da7d13e87649d805cd562cb4235d2be53a5a8cec9dae69a65f258402e4dcbc-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704130355
0,0.020332617278570575,46.609186,0,0x07dde10d2ff7b715b9e352273506e5880568a8ce4e12da56b7f2f64251ea4fdf-1,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704096899
0,2.164168500081332757,5000,0,0x07e46de7aa644be36879469ff5f052a046bc19e57e84de2642a8637e62ec687c-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704121811
0,1.000000000104290438,2355.860364,0,0x07ecd64408e2a8996fa7a7506bf96c09a18470c9cbece90f92e1c42083f5978f-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704154067
0,0.062472562917300225,146,0,0x07fc6bf15e77e36d4d5fe6e3e780ce18f48f8627407a733877138829d0bb373b-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704148811
0,0.045455368635395275,105,0,0x0860a34979c13e33c37db730c3573dbd1111af006a9ccfc96487317f02091596-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704118343
0,0.008665881053227421,20,0,0x08879fb730e492efca24647d85f880ec77b4d93ce843ebe56e2b25521d565092-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704115859
0,0.086980601918565974,200.922413,0,0x089cd17e913547e3aad1eeab6a4ded0cfec44c58661856eef0d279789ee42ea7-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704108503
0.000723092651048036,0,0,1.688462,0x08e0d26c4f59d63dc69db67ed59448670618adbdda2b822c59751b07051c5eaf-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704142823
0,0.040683028592116878,96.93936,0,0x08e2a16b43bef18345f8ebe19a154175fe724870b6bcaad14a701b3975bc56bb-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704161255
0.895111894201687632,0,0,2039.523425,0x090976fa2f335c0c3e05a9acd13bf3aea06a521fee8b29f5621aaf029aea67f9-1,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704098567
0,0.377666062363261972,899.829083,0,0x09168d2abd86d275e3a14b35c5b389afb460e6e0a776dfd03abbf497616c8694-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704160811
0.473936552223254864,0,0,1103.181084,0x0916c0ae2c4b33574214b2c1f198dd54c6d01c3c6349c4520b003d5a91394cc4-1,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704139139
0,0.07253952578353523,169.9,0,0x091e1f9443f27cb65e9abf29e1055c5ed95b9d746e6cf60a69c74534f37d6d82-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704150383
0.101426056688043583,0,0,235.50296,0x09451a20f672b15d9c311bad92709f667e4c2eb64238e7f1c3e4615dcef8718c-1,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704135755
0.003530898750663746,0,0,8.245047,0x09867a17442dad3339d5c47ca8f77156998d5039ef31bb75d341ef61fefad118-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704141299
0,0.046896599631737316,109.598497,0,0x099ddb639012d8eca82345552cfede3f0c038dfb5fef6d4971047708587955ed-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704148835
0,0.106643265106568544,245.203706,0,0x09a808c9fa2090ecd128a2e2dac79003e3a32a63112594561d9b3628d9273d1d-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704102827
0,0.599653898075580999,1384.493759,0,0x09ac42592da3422c53c964fa31080317c752b84abff61532b3a26318ac84f87f-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704113111
0.548399030700623928,0,0,1300,0x09d62b5930609ec4fe307c46e805a5575bfeb54a3e25f93a8bcccf342f44372d-1,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704155903
0.010115401961436908,0,0,23.049125,0x09da5129e002cce11a33eabbfa0592e50fe2767ff469949de4da282ce2182b27-1,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704097403
0,0.45661289756338671,1088.322896,0,0x09ef1090412423a9e3b69b0dc634f3c827ba0a667e0ce88ccd2ddf14af7bd93b-1,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704163175
0,0.0021811491675333,5,0,0x09f6ae80f312e12ad88272d181dfba697c5053cd87dff9312092299d3997a376-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704097019
0,0.251347260722240356,577.602215,0,0x0a0959291f7af2084224acc44c8ec876a14c3913d767207f5f8d011bf264a110-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704102275
0,0.007956973044038649,19,0,0x0a16348432d47db1fa2f451cab5d5cab61af7d0dbb1dc08d4fd17aead35c6af3-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704168635
0.0297375,0,0,68.118464,0x0a24ac957a09bb67be6e81d57b3f21fa559bda02a8ed17e5a7326391918ac355-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704106295
0.106127534038918123,0,0,251.468311,0x0a4c09bf5bbd633feed4a0702232553952414d5870e5faefc09c891aeda40019-1,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704166823
0,0.000596005113501013,1.4,0,0x0a5740c71729d90a2c6b53d7947ac743aaaac3c5298d973f5346ffe981bcd6e6-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704143351
0,0.195917279916734395,457.704827,0,0x0a5fb6fa35b0f0c1082174cf8577df7af83deb71d95d0d340d4d81361c09b20f-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704136127
0.03505320419148689,0,0,79.871693,0x0a6ca4d87559f029b8c7ff0a72f87391691fdeb9fbc51a4e9f498fbf88d0d607-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704098243
0,0.226731004367022816,532.59239,0,0x0a6f8562a33491d656b63dd555494582bc922770d53abd22b4ab919861c5e4b6-1,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704143243
1.234307909095508052,0,0,2881.778547,0x0a8538fb2583464cf90c6069e1d07d3e8af3af27eb19c67182f0ac4edb7e3150-1,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704141743
0,0.020086160146623317,47.980088,0,0x0b1f7346613cf265b350f8afc0017a5b4d7aebc5ef506a5b117a5271ad8d4b8c-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704157127
0,0.211804532075018043,491.499384,0,0x0b4312536403d2a11ddf5dba58ca66627b5c01c222583b8be2e9338966b5001d-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704129095
0,0.087801543561491607,200.537069,0,0x0b6cd5e93d37dff36b1e7c2424253d0ea2b8a649a4c66fb30dfa84a2c2a605bb-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704089099
0,0.904694678106062417,2100,0,0x0b965a649f5f909f4b0b447f970d7db6319fe253f5891607742aed557210b79c-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704126995
0,0.049886866180396177,114.337495,0,0x0ba3e24ac7c4f9f081d2418fe6df82183862970a702dbb744af36a3fcbac031b-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704095783
0,0.018947573939522365,44.284195,0,0x0bae0929b2bc45fa70878a02f2f8d75705af28944cc7db978dbf93013a4d958c-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704149519
0.604546321149265894,0,0,1409.579999,0x0bba2ed92c7f9671e45b76fb0ef4046c4d7dfdcea487f4c567441781c810f92c-1,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704139727
0,0.236430117451748682,555.356393,0,0x0bbda0e7b49533dcee693477d7409bdcdb9e47a4be414e8a808cf88b79e848a6-0,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704143603
0.277568310984506647,0,0,637.073275,0x0be46109d75933d507585781d9a1062da9472472d1ce5e3f1e3ef8bd2a94ecd1-1,"{'token0': {'symbol': 'WETH'}, 'token1': {'symbol': 'USDT'}}",1704111023
